------------------------------------
 Train MAE  Train Msg MAE  Train Belief MAE  Test MAE  Test Msg MAE  Test Belief MAE  Val MAE  Val Msg MAE  Val Belief MAE Epoch              Model
  0.044027       0.015481          0.028546  0.332399      0.178282         0.154117 0.345368     0.184531        0.160837    59               MPNN
  0.043402       0.015351          0.028051  0.331176      0.179572         0.151605 0.347885     0.186323        0.161562    60               MPNN
  0.042389       0.014951          0.027438  0.328222      0.176434         0.151787 0.345558     0.183396        0.162162    61               MPNN
  0.044295       0.015795          0.028499  0.358398      0.184992         0.173405 0.379352     0.192480        0.186872    62               MPNN
  0.044712       0.015815          0.028897  0.337690      0.183631         0.154059 0.351167     0.190152        0.161014    63               MPNN
  0.042869       0.015260          0.027609  0.344610      0.185272         0.159338 0.361596     0.192569        0.169027    64               MPNN
  0.042439       0.015011          0.027428  0.331869      0.179531         0.152338 0.346044     0.186000        0.160044    65               MPNN
  0.043012       0.015200          0.027812  0.349874      0.182610         0.167264 0.369719     0.190054        0.179665    66               MPNN
  0.043335       0.015327          0.028008  0.347331      0.181815         0.165516 0.367733     0.189274        0.178459    67               MPNN
  0.042758       0.015086          0.027672  0.331872      0.179550         0.152322 0.349801     0.186640        0.163162    68               MPNN
  0.043312       0.015326          0.027986  0.352905      0.182985         0.169921 0.372814     0.190431        0.182383    69               MPNN
  0.042673       0.014911          0.027761  0.347922      0.180461         0.167460 0.367110     0.187833        0.179277    70               MPNN
  0.042032       0.014703          0.027330  0.326803      0.174148         0.152655 0.345119     0.181366        0.163754    71               MPNN
  0.042478       0.014969          0.027508  0.336007      0.176946         0.159062 0.356167     0.184522        0.171645    72               MPNN
  0.042439       0.014877          0.027561  0.332857      0.178120         0.154736 0.351843     0.185147        0.166695    73               MPNN
  0.041409       0.014535          0.026874  0.328642      0.175306         0.153336 0.346838     0.182179        0.164660    74               MPNN
  0.042885       0.014994          0.027891  0.328635      0.176720         0.151915 0.343064     0.183170        0.159894    75               MPNN
  0.042348       0.014824          0.027524  0.332615      0.175325         0.157290 0.352637     0.182887        0.169751    76               MPNN
  0.042227       0.014902          0.027325  0.330609      0.178625         0.151984 0.345002     0.184977        0.160025    77               MPNN
  0.042426       0.014985          0.027440  0.330638      0.179226         0.151412 0.345822     0.185865        0.159957    78               MPNN
  0.042335       0.014943          0.027392  0.330313      0.175319         0.154994 0.349554     0.182549        0.167005    79               MPNN
  0.042453       0.014881          0.027571  0.333712      0.176170         0.157542 0.353773     0.183738        0.170035    80               MPNN
  0.042769       0.014999          0.027771  0.332366      0.177968         0.154398 0.351172     0.184912        0.166260    81               MPNN
  0.041969       0.014774          0.027195  0.339933      0.178919         0.161014 0.360532     0.186456        0.174077    82               MPNN
  0.042086       0.014765          0.027320  0.330117      0.176978         0.153139 0.347961     0.183711        0.164250    83               MPNN
  0.041142       0.014505          0.026638  0.328295      0.174466         0.153828 0.347128     0.181622        0.165507    84               MPNN
  0.041030       0.014426          0.026604  0.326472      0.174202         0.152270 0.344400     0.181208        0.163192    85               MPNN
  0.041474       0.014507          0.026967  0.330725      0.177330         0.153395 0.348879     0.184085        0.164794    86               MPNN
  0.042663       0.015084          0.027579  0.372483      0.190903         0.181580 0.392771     0.198047        0.194724    87               MPNN
  0.043926       0.015532          0.028395  0.325112      0.173295         0.151817 0.342292     0.180139        0.162153    88               MPNN
  0.041717       0.014593          0.027124  0.345456      0.180330         0.165126 0.365733     0.187785        0.177948    89               MPNN
  0.041581       0.014668          0.026912  0.326639      0.174341         0.152299 0.344748     0.181522        0.163226    90               MPNN
  0.041777       0.014511          0.027266  0.326205      0.174461         0.151744 0.342404     0.181064        0.161340    91               MPNN
  0.041349       0.014466          0.026884  0.334618      0.179033         0.155586 0.353843     0.186034        0.167809    92               MPNN
  0.041137       0.014510          0.026627  0.325550      0.173701         0.151849 0.342302     0.180380        0.161922    93               MPNN
  0.041425       0.014431          0.026994  0.330123      0.175652         0.154472 0.349227     0.182953        0.166275    94               MPNN
  0.041208       0.014474          0.026734  0.325428      0.174233         0.151196 0.340989     0.180857        0.160132    95               MPNN
  0.041367       0.014529          0.026838  0.327003      0.174213         0.152790 0.345302     0.181262        0.164039    96               MPNN
  0.040650       0.014208          0.026443  0.324786      0.173671         0.151115 0.341058     0.180466        0.160592    97               MPNN
  0.041342       0.014538          0.026804  0.326696      0.175154         0.151542 0.343237     0.181858        0.161379    98               MPNN
  0.040776       0.014331          0.026445  0.328404      0.175936         0.152468 0.346493     0.182961        0.163532    99               MPNN
  0.041579       0.014583          0.026996  0.337096      0.178954         0.158141 0.356698     0.185836        0.170862   100               MPNN
  0.041115       0.014393          0.026722  0.327201      0.173984         0.153217 0.345586     0.181003        0.164582   101               MPNN
  0.040430       0.014090          0.026341  0.333066      0.178467         0.154599 0.351781     0.185301        0.166479   102               MPNN
  0.040474       0.014154          0.026321  0.326997      0.173978         0.153019 0.345588     0.181208        0.164380   103               MPNN
  0.041245       0.014495          0.026751  0.333111      0.178251         0.154860 0.351865     0.185097        0.166769   104               MPNN
  0.040918       0.014327          0.026590  0.330106      0.178428         0.151678 0.344690     0.184731        0.159959   105               MPNN
  0.041016       0.014436          0.026580  0.325558      0.173858         0.151699 0.340570     0.180323        0.160247   106               MPNN
  0.040267       0.014040          0.026227  0.326782      0.173871         0.152911 0.345239     0.181010        0.164229   107               MPNN
  0.040088       0.013961          0.026127  0.329451      0.175713         0.153738 0.348022     0.182664        0.165358   108               MPNN
  0.040350       0.014073          0.026277  0.328941      0.174470         0.154472 0.348023     0.181691        0.166331   109               MPNN
  0.040701       0.014255          0.026446  0.325331      0.173877         0.151453 0.342683     0.180854        0.161829   110               MPNN
  0.040542       0.014115          0.026428  0.330037      0.177264         0.152773 0.347929     0.184059        0.163870   111               MPNN
  0.040330       0.014065          0.026265  0.325040      0.173368         0.151672 0.339898     0.179841        0.160057   112               MPNN
  0.040321       0.014065          0.026256  0.325625      0.174192         0.151434 0.340932     0.180690        0.160242   113               MPNN
  0.040618       0.014290          0.026328  0.332519      0.177072         0.155447 0.351744     0.184125        0.167619   114               MPNN
  0.040904       0.014373          0.026531  0.327516      0.175568         0.151948 0.344685     0.182317        0.162368   115               MPNN
  0.041031       0.014302          0.026729  0.335306      0.177450         0.157856 0.355236     0.184689        0.170546   116               MPNN
  0.040386       0.014071          0.026315  0.324736      0.173215         0.151521 0.339478     0.179723        0.159755   117               MPNN
  0.040404       0.014123          0.026280  0.332870      0.175564         0.157307 0.352956     0.183043        0.169913   118               MPNN
  0.039917       0.013966          0.025951  0.326436      0.174938         0.151498 0.342997     0.181592        0.161405   119               MPNN
  0.040343       0.014071          0.026272  0.327688      0.174640         0.153048 0.345426     0.181352        0.164074   120               MPNN
  0.040644       0.014111          0.026533  0.324335      0.173242         0.151093 0.340732     0.180033        0.160699   121               MPNN
  0.039610       0.013878          0.025733  0.324485      0.173162         0.151323 0.339614     0.179692        0.159922   122               MPNN
  0.040811       0.014241          0.026570  0.325394      0.173587         0.151807 0.342748     0.180455        0.162293   123               MPNN
  0.040115       0.014024          0.026091  0.330757      0.175692         0.155065 0.349914     0.182857        0.167057   124               MPNN
  0.040081       0.014016          0.026065  0.325525      0.174404         0.151121 0.340588     0.181018        0.159570   125               MPNN
  0.040107       0.014071          0.026036  0.328290      0.175522         0.152769 0.346412     0.182441        0.163971   126               MPNN
  0.040669       0.014276          0.026393  0.326186      0.175002         0.151184 0.342090     0.181600        0.160490   127               MPNN
  0.039997       0.013965          0.026031  0.324917      0.173655         0.151262 0.341027     0.180318        0.160709   128               MPNN
  0.040687       0.014136          0.026551  0.327456      0.176187         0.151269 0.342050     0.182607        0.159442   129               MPNN
  0.040371       0.014225          0.026146  0.325696      0.174357         0.151338 0.342762     0.181188        0.161574   130               MPNN
  0.040143       0.014032          0.026111  0.331541      0.177016         0.154525 0.350349     0.183937        0.166412   131               MPNN
  0.039879       0.013951          0.025928  0.325028      0.173499         0.151529 0.341419     0.180131        0.161288   132               MPNN
  0.039470       0.013764          0.025706  0.325579      0.174008         0.151571 0.342615     0.180814        0.161801   133               MPNN
  0.039470       0.013808          0.025662  0.329184      0.176504         0.152680 0.346928     0.183223        0.163705   134               MPNN
  0.039881       0.013924          0.025958  0.332739      0.175983         0.156756 0.352425     0.183238        0.169187   135               MPNN
  0.039769       0.013831          0.025938  0.325600      0.173700         0.151900 0.342779     0.180445        0.162334   136               MPNN
  0.039411       0.013736          0.025675  0.326464      0.175154         0.151310 0.341304     0.181631        0.159673   137               MPNN
  0.039527       0.013709          0.025818  0.326006      0.174413         0.151593 0.342071     0.181006        0.161064   138               MPNN
  0.039348       0.013723          0.025625  0.325625      0.174021         0.151604 0.342701     0.180750        0.161952   139               MPNN
  0.039659       0.013824          0.025834  0.325731      0.174198         0.151533 0.342089     0.180885        0.161204   140               MPNN
  0.039462       0.013774          0.025688  0.325382      0.173631         0.151751 0.342671     0.180411        0.162260   141               MPNN
  0.040175       0.014084          0.026091  0.331750      0.178610         0.153141 0.349726     0.185164        0.164561   142               MPNN
  0.039553       0.013801          0.025752  0.325304      0.173769         0.151534 0.341677     0.180473        0.161204   143               MPNN
  0.039322       0.013710          0.025612  0.326341      0.174881         0.151460 0.343183     0.181591        0.161591   144               MPNN
  0.039669       0.013776          0.025892  0.325422      0.174340         0.151082 0.340866     0.180871        0.159995   145               MPNN
  0.040130       0.013943          0.026187  0.331760      0.179238         0.152521 0.349323     0.185766        0.163557   146               MPNN
  0.039370       0.013776          0.025594  0.330280      0.176883         0.153398 0.348554     0.183647        0.164907   147               MPNN
  0.039614       0.013749          0.025865  0.324256      0.173165         0.151091 0.339540     0.179754        0.159785   148               MPNN
  0.039361       0.013736          0.025625  0.325553      0.174525         0.151028 0.341817     0.181218        0.160599   149               MPNN
  0.039427       0.013791          0.025637  0.325970      0.173600         0.152369 0.343600     0.180447        0.163154   150               MPNN
  0.039287       0.013689          0.025598  0.325230      0.173855         0.151375 0.341821     0.180581        0.161240   151               MPNN
  0.039021       0.013605          0.025416  0.325171      0.173506         0.151665 0.341818     0.180247        0.161571   152               MPNN
  0.039170       0.013614          0.025556  0.325592      0.173771         0.151821 0.342920     0.180597        0.162323   153               MPNN
  0.039178       0.013626          0.025553  0.325361      0.174217         0.151144 0.340928     0.180789        0.160139   154               MPNN
  0.039106       0.013572          0.025534  0.324673      0.173114         0.151559 0.340884     0.179748        0.161136   155               MPNN
  0.038986       0.013592          0.025394  0.327252      0.174407         0.152846 0.345228     0.181335        0.163893   156               MPNN
  0.039058       0.013585          0.025473  0.326915      0.174749         0.152166 0.343506     0.181312        0.162194   157               MPNN
  0.039092       0.013597          0.025495  0.324865      0.173397         0.151468 0.341026     0.180032        0.160993   158               MPNN
  0.039068       0.013646          0.025422  0.325711      0.174492         0.151218 0.340696     0.180991        0.159705   159               MPNN
  0.039238       0.013715          0.025523  0.325765      0.174604         0.151161 0.341659     0.181199        0.160460   160               MPNN
  0.039396       0.013703          0.025694  0.324537      0.173123         0.151414 0.341503     0.179934        0.161569   161               MPNN
  0.039026       0.013565          0.025461  0.326082      0.174599         0.151483 0.342585     0.181286        0.161300   162               MPNN
  0.038957       0.013598          0.025359  0.325928      0.174893         0.151036 0.340859     0.181428        0.159431   163               MPNN
  0.039150       0.013651          0.025499  0.327922      0.175463         0.152459 0.345666     0.182217        0.163449   164               MPNN
  0.039135       0.013605          0.025530  0.324576      0.173449         0.151127 0.340643     0.180105        0.160538   165               MPNN
  0.039336       0.013678          0.025658  0.326644      0.175008         0.151636 0.343260     0.181673        0.161587   166               MPNN
  0.038993       0.013536          0.025457  0.325305      0.173926         0.151379 0.340897     0.180453        0.160444   167               MPNN
  0.533507       0.242564          0.290943  0.559087      0.260803         0.298284 0.570271     0.268338        0.301933     1    MPNN_SenderAggr
  0.434589       0.197567          0.237022  0.658925      0.306066         0.352860 0.671227     0.314543        0.356684     2    MPNN_SenderAggr
  0.229730       0.100310          0.129420  0.642216      0.286357         0.355858 0.640904     0.288444        0.352459     3    MPNN_SenderAggr
  0.136796       0.058526          0.078270  0.589180      0.270851         0.318329 0.595108     0.275152        0.319955     4    MPNN_SenderAggr
  0.107462       0.045331          0.062131  0.610340      0.280348         0.329992 0.625771     0.288405        0.337366     5    MPNN_SenderAggr
  0.113080       0.046161          0.066919  0.597236      0.272262         0.324974 0.599185     0.275294        0.323890     6    MPNN_SenderAggr
  0.090874       0.036753          0.054120  0.558289      0.259132         0.299157 0.570133     0.266405        0.303728     7    MPNN_SenderAggr
  0.083348       0.033529          0.049820  0.593954      0.269029         0.324926 0.594596     0.271749        0.322847     8    MPNN_SenderAggr
  0.082379       0.032288          0.050091  0.632376      0.285090         0.347286 0.630224     0.286220        0.344004     9    MPNN_SenderAggr
  0.078434       0.030766          0.047668  0.598669      0.271957         0.326711 0.599514     0.274605        0.324908    10    MPNN_SenderAggr
  0.073902       0.028947          0.044955  0.583964      0.265993         0.317971 0.586370     0.269464        0.316907    11    MPNN_SenderAggr
  0.073925       0.028309          0.045616  0.566800      0.262843         0.303957 0.576005     0.268411        0.307594    12    MPNN_SenderAggr
  0.066512       0.025574          0.040937  0.554082      0.256871         0.297211 0.564765     0.263423        0.301342    13    MPNN_SenderAggr
  0.069823       0.026288          0.043535  0.619610      0.279769         0.339841 0.618196     0.281306        0.336890    14    MPNN_SenderAggr
  0.076265       0.028893          0.047372  0.623854      0.284064         0.339790 0.641315     0.293203        0.348112    15    MPNN_SenderAggr
  0.068628       0.025709          0.042919  0.574827      0.264112         0.310715 0.579635     0.268209        0.311426    16    MPNN_SenderAggr
  0.062549       0.023585          0.038963  0.553558      0.256416         0.297141 0.564824     0.263123        0.301702    17    MPNN_SenderAggr
  0.062548       0.023376          0.039172  0.558983      0.258487         0.300496 0.567837     0.264144        0.303693    18    MPNN_SenderAggr
  0.060725       0.022530          0.038195  0.555258      0.256352         0.298906 0.566047     0.262866        0.303181    19    MPNN_SenderAggr
  0.068886       0.025396          0.043490  0.625987      0.285592         0.340394 0.643806     0.294748        0.349057    20    MPNN_SenderAggr
  0.065138       0.024124          0.041014  0.566680      0.260247         0.306434 0.572455     0.264840        0.307615    21    MPNN_SenderAggr
  0.061815       0.022725          0.039089  0.553959      0.256351         0.297608 0.564339     0.262758        0.301581    22    MPNN_SenderAggr
  0.061477       0.022493          0.038984  0.574913      0.263393         0.311520 0.589511     0.271425        0.318087    23    MPNN_SenderAggr
  0.059620       0.021826          0.037794  0.558131      0.257910         0.300220 0.569425     0.264673        0.304752    24    MPNN_SenderAggr
